id,text,department,source
324,New electricity connection applied for near Patia but not provided repeatedly.,Electricity,synthetic
325,There is frequent power cut in Sishu Bhawan Chowk for the past four days. please take immediate action.,Electricity,synthetic
326,Road rage incidents near Unit-4 junction are increasing due to no signals.,Traffic,synthetic
327,No signal board at the intersection near Puri. Drivers don't know right of way.,Traffic,synthetic
328,Park near Khandagiri has no dustbins and waste is littered everywhere.,Parks,synthetic
329,The water supply in Khandagiri has been disrupted still not fixed. please take immediate action.,Water,synthetic
330,Overhead electric cable near Rourkela is sagging very low. Vehicles might touch it.,Electricity,synthetic
331,Road maintenance work near Unit-4 was started but left incomplete since last week.,Roads,synthetic
332,Road maintenance work near Sishu Bhawan Chowk was started but left incomplete for over a week.,Roads,synthetic
333,Open drainage near Dumduma is breeding mosquitoes. Residents are falling sick.,Sanitation,synthetic
334,The traffic signal near Sambalpur is not working again and again. Huge traffic jams forming.,Traffic,synthetic
335,The electric pole near Cuttack has a loose wire hanging dangerously.,Electricity,synthetic
336,Community water tap near Bomikhal has been broken again and again. motorists are in danger.,Water,synthetic
337,Water pressure is very low in Jaydev Vihar square. We are not getting enough water.,Water,synthetic
338,Community water tap near Cuttack has been broken for two weeks now. children are at risk.,Water,synthetic
339,Park in Unit-4 has an open drainage ditch inside it which is dangerous for children.,Parks,synthetic
340,The road divider near Patia is broken and there is no barricading. children are at risk.,Roads,synthetic
341,The park in Unit-6 has broken benches and no lights. Unsafe at night.,Parks,synthetic
342,The nullah near Brahmapur has not been desilted repeatedly. Flooding is certain this monsoon.,Sanitation,synthetic
343,Water coming from the taps in Dumduma is brown and unfit for drinking. urgent attention required.,Water,synthetic
344,The service road near Chandrasekharpur is completely damaged with loose gravel everywhere.,Roads,synthetic
345,Construction debris has been dumped on the road near Aiginia for more than a week. please take immediate action.,Roads,synthetic
346,Potholes on the road to Brahmapur have still not been filled repeatedly. please take immediate action.,Roads,synthetic
347,Three-wheeler goods vehicles parked on footpath near Puri blocking pedestrians.,Traffic,synthetic
348,The garbage van has not visited Puri for more than a week. Waste is piling up on the road.,Sanitation,synthetic
349,The park lights in Unit-6 have been broken since last month. Park is unsafe after dark.,Parks,synthetic
350,Road near Khandagiri gets flooded every time it rains due to poor surface drainage.,Roads,synthetic
351,"A water pipeline near Saheed Nagar is leaking heavily, causing road damage too.",Water,synthetic
352,Water pressure is very low in Master Canteen Square lane. We are not getting enough water.,Water,synthetic
353,School zone near Unit-4 has no speed limits enforced. Children are in danger. motorists are in danger.,Traffic,synthetic
354,Power supply restored after 8 hours but now going off again near Rourkela. daily commuters are suffering.,Electricity,synthetic
355,The overhead water tank in Cuttack is leaking and overflowing on the road.,Water,synthetic
356,Illegal parking near Aiginia marg is blocking traffic flow completely.,Traffic,synthetic
357,No signal board at the intersection near Acharya Vihar. Drivers don't know right of way.,Traffic,synthetic
358,Road near Chandrasekharpur has been dug for cable laying and not repaired for two weeks now. this needs to be fixed immediately.,Roads,synthetic
359,Supply water in Unit-4 has high chlorine smell. Not suitable for cooking. it is a public safety hazard.,Water,synthetic
360,U-turn restriction sign near Acharya Vihar has fallen down even after multiple complaints. Causing confusion.,Traffic,synthetic
361,Drain near Patia is choked with plastic waste. Sewage spilling on footpath.,Sanitation,synthetic
362,Garbage collection truck near Puri is coming once a week instead of daily.,Sanitation,synthetic
363,Garbage dumping near Unit-6 is happening illegally and nobody is stopping it.,Sanitation,synthetic
364,Sewage is mixing with drinking water supply in Master Canteen Square. Very serious. we have been suffering daily.,Water,synthetic
365,The drain near Cuttack is overflowing with sewage again and again. the situation is getting worse daily.,Sanitation,synthetic
366,Road rage incidents near Vani Vihar junction are increasing due to no signals.,Traffic,synthetic
367,Road near Vani Vihar gets flooded every time it rains due to poor surface drainage.,Roads,synthetic
368,Garbage collection truck near Bhubaneswar Old Town is coming once a week instead of daily.,Sanitation,synthetic
369,Trees in Brahmapur park have not been trimmed since Monday. Branches are a hazard.,Parks,synthetic
370,Night time racing of vehicles near Unit-4 is a serious safety issue. there could be a serious accident.,Traffic,synthetic
371,Supply water in Unit-6 has high chlorine smell. Not suitable for cooking. urgent attention required.,Water,synthetic
372,Park near Sambalpur has no dustbins and waste is littered everywhere.,Parks,synthetic
373,Heavy vehicles are parked on the main road near Master Canteen Square since Monday causing congestion.,Traffic,synthetic
374,There is no traffic control at Unit-6 during peak hours. Chaos every morning.,Traffic,synthetic
375,The pedestrian signal near Saheed Nagar is not working since Monday. Pedestrians at risk.,Traffic,synthetic
376,Concrete road near Khandagiri has developed cracks and is sinking in some areas.,Roads,synthetic
377,Loose garbage and plastic near Kalinga Nagar is blocking the roadside drain.,Sanitation,synthetic
378,Encroachment on the park in Unit-4 is reducing the open space for residents.,Parks,synthetic
379,Waste dumped near Tamando flyover is attracting stray dogs and creating hazard.,Sanitation,synthetic
380,The electric pole near Sishu Bhawan Chowk has a loose wire hanging dangerously.,Electricity,synthetic
381,Encroachment on the park in Vani Vihar is reducing the open space for residents.,Parks,synthetic
382,The road divider near Brahmapur is broken and there is no barricading. daily commuters are suffering.,Roads,synthetic
383,The road near Master Canteen Square is full of potholes making two wheelers prone to accidents.,Roads,synthetic
384,Speed breaker near Cuttack has no markings and is causing accidents.,Roads,synthetic
385,The garden near Saheed Nagar has dead plants that have not been replaced since last week.,Parks,synthetic
386,The main arterial road near Unit-4 has not been repaired repeatedly. children are at risk.,Roads,synthetic
387,The water meter in our building near Khandagiri is faulty and showing excess usage.,Water,synthetic
388,Potholes on the road to Rourkela have still not been filled for more than a week. elderly people are affected.,Roads,synthetic
389,Footpath near Unit-4 occupied by vendors forcing pedestrians on the road.,Traffic,synthetic
390,There is frequent power cut in Rourkela still not fixed. motorists are in danger.,Electricity,synthetic
391,The bridge near Acharya Vihar has damaged railings. It is very unsafe.,Roads,synthetic
392,The road near Tamando is full of potholes making two wheelers prone to accidents.,Roads,synthetic
393,Electric pole in Cuttack colony is leaning and might fall during rain. it is causing inconvenience to residents.,Electricity,synthetic
394,Water pipe near Vani Vihar burst during road construction and has not been repaired.,Water,synthetic
395,Garbage dumping near Acharya Vihar is happening illegally and nobody is stopping it.,Sanitation,synthetic
396,The traffic signal at Saheed Nagar crossroad has been dark since last month. Manual control needed.,Traffic,synthetic
397,The water meter in our building near Bhubaneswar Old Town is faulty and showing excess usage.,Water,synthetic
398,Footpath near Bhubaneswar Old Town occupied by vendors forcing pedestrians on the road.,Traffic,synthetic
399,Three-wheeler goods vehicles parked on footpath near IRC Village blocking pedestrians.,Traffic,synthetic
400,The nullah near Cuttack has not been desilted again and again. Flooding is certain this monsoon.,Sanitation,synthetic
401,There is no traffic signal at the junction near Bhubaneswar Old Town. Accidents are happening.,Traffic,synthetic
402,Speed breaker near Unit-6 has no markings and is causing accidents.,Roads,synthetic
403,No road marking or lane discipline near Vani Vihar. Total traffic disorder.,Traffic,synthetic
404,Open defecation is happening near the park in Patia every morning.,Sanitation,synthetic
405,The community dustbin near Chandrasekharpur is overflowing for more than a week. the whole locality is inconvenienced.,Sanitation,synthetic
406,The garden near Unit-6 has dead plants that have not been replaced since Monday.,Parks,synthetic
407,Traffic signal timing near Jaydev Vihar is wrong. Green for 5 seconds is too short.,Traffic,synthetic
408,Power supply restored after 8 hours but now going off again near Kalinga Nagar. it is causing inconvenience to residents.,Electricity,synthetic
409,Open defecation is happening near the park in Unit-4 every morning.,Sanitation,synthetic
410,"A water pipeline near Patia is leaking heavily, causing road damage too.",Water,synthetic
411,Streetlights on Nayapalli chowk have been out repeatedly. Area is unsafe at night.,Electricity,synthetic
412,Water coming from the taps in Cuttack is brown and unfit for drinking. daily commuters are suffering.,Water,synthetic
413,Potholes on the road to Dumduma have still not been filled again and again. the situation is getting worse daily.,Roads,synthetic
414,Garbage dumping near Khandagiri is happening illegally and nobody is stopping it.,Sanitation,synthetic
415,The park near Puri has broken swings and slides. Children are getting injured.,Parks,synthetic
416,There is no traffic control at Sishu Bhawan Chowk during peak hours. Chaos every morning.,Traffic,synthetic
417,The road near Aiginia has a large pothole for the past four days. elderly people are affected.,Roads,synthetic
418,Garbage collection truck near Nayapalli is coming once a week instead of daily.,Sanitation,synthetic
419,The electricity pole near Bomikhal has tilted and could fall any moment. daily commuters are suffering.,Electricity,synthetic
420,Frequent voltage fluctuations in Khandagiri are damaging our appliances since last week.,Electricity,synthetic
421,Overgrown bushes in Vani Vihar park are becoming shelter for antisocial elements.,Parks,synthetic
422,The sewer line near Unit-4 is blocked causing overflow on the main road. this needs to be fixed immediately.,Sanitation,synthetic
423,No drinking water facility in Master Canteen Square park. Residents request a water tap.,Parks,synthetic
424,Electricity transformer near Sambalpur has broken down even after multiple complaints. Whole street affected.,Electricity,synthetic
425,Sewer overflow from the drain near Tamando is entering residential buildings.,Sanitation,synthetic
426,Three-wheeler goods vehicles parked on footpath near Sishu Bhawan Chowk blocking pedestrians.,Traffic,synthetic
427,The underground water pipeline near Nayapalli is broken and water is gushing out.,Water,synthetic
428,There is a large pile of garbage near Aiginia that has not been cleared still not fixed.,Sanitation,synthetic
429,Open defecation is happening near the park in Bomikhal every morning.,Sanitation,synthetic
430,The overhead water tank in Cuttack is leaking and overflowing on the road.,Water,synthetic
431,Bus stop near Master Canteen Square has no shelter. Buses also stop in middle of road causing jam.,Traffic,synthetic
432,The garbage van has not visited Master Canteen Square for over a week. Waste is piling up on the road.,Sanitation,synthetic
433,The traffic signal at Nayapalli crossroad has been dark for over a week. Manual control needed.,Traffic,synthetic
434,Public toilet near Bomikhal is broken and overflowing again and again. daily commuters are suffering.,Sanitation,synthetic
435,Dirty and foul-smelling water is coming from taps in Unit-6 again and again. it is a public safety hazard.,Water,synthetic
436,High tension wire near Bhubaneswar Old Town is passing very low over the road. Very dangerous.,Electricity,synthetic
437,The park gate near Unit-6 is broken and park is not being locked at night.,Parks,synthetic
438,"The signal near Dumduma has been blinking yellow for three days, it is chaos at peak hour.",Traffic,synthetic
439,Footpath near Bhubaneswar Old Town school has broken slabs which are dangerous for children.,Roads,synthetic
440,Water supply has been cut near Vani Vihar without any prior notice since last month. this needs to be fixed immediately.,Water,synthetic
441,No drinking water in Jaydev Vihar colony for over a week. Residents are buying water at high cost.,Water,synthetic
442,The road near Brahmapur has a large pothole since last week. this needs to be fixed immediately.,Roads,synthetic
443,Streetlights on Tamando square have been out since last week. Area is unsafe at night.,Electricity,synthetic
444,Dead animal carcass lying on the road near Aiginia for more than a week. Extremely unhygienic.,Sanitation,synthetic
445,The main water supply valve near Sambalpur is stuck and causing low pressure issues.,Water,synthetic
446,The underground water pipeline near Jaydev Vihar is broken and water is gushing out.,Water,synthetic
447,Water pipeline near Sishu Bhawan Chowk has developed multiple leaks causing waterlogging.,Water,synthetic
448,Garbage collection workers have not come to Cuttack even after multiple complaints. Rats are appearing.,Sanitation,synthetic
449,Potholes on the road to Bomikhal have still not been filled for more than a week. the whole locality is inconvenienced.,Roads,synthetic
450,Wrong side driving near Master Canteen Square is rampant. No enforcement whatsoever.,Traffic,synthetic
451,The sewer line near Master Canteen Square is blocked causing overflow on the main road. children are at risk.,Sanitation,synthetic
452,High tension wire near Aiginia is passing very low over the road. Very dangerous.,Electricity,synthetic
453,Footpath near Kalinga Nagar occupied by vendors forcing pedestrians on the road.,Traffic,synthetic
454,Heavy potholes on Brahmapur marg are causing accidents even after multiple complaints.,Roads,synthetic
455,Auto rickshaws are blocking the entire road near Chandrasekharpur marg every evening.,Traffic,synthetic
456,New electricity connection applied for near Bomikhal but not provided for three days.,Electricity,synthetic
457,Dead animal carcass lying on the road near Barmunda since Monday. Extremely unhygienic.,Sanitation,synthetic
458,The streetlight near Patia has been not working again and again. this needs to be fixed immediately.,Electricity,synthetic
459,Joggers track in Sambalpur park is full of potholes and cracks.,Parks,synthetic
460,Sewage drain near Bomikhal is blocked and water is overflowing on the road. please take immediate action.,Sanitation,synthetic
461,Dirty and foul-smelling water is coming from taps in Khandagiri for more than a week. children are at risk.,Water,synthetic
462,Power supply fluctuates heavily near Dumduma causing damage to electronic devices.,Electricity,synthetic
463,Garbage near Vani Vihar nagar has been burning for two days. Air is polluted.,Sanitation,synthetic
464,No water supply in our area near Jaydev Vihar since the maintenance work started again and again.,Water,synthetic
465,The main arterial road near Puri has not been repaired since Monday. children are at risk.,Roads,synthetic
466,Road cutting work was done near Chandrasekharpur but it has not been repaired again and again.,Roads,synthetic
467,The fountain in Sishu Bhawan Chowk park has not been working for two weeks now. It is a public attraction.,Parks,synthetic
468,There is a live electric wire lying on the road near Unit-4. Very dangerous. urgent attention required.,Electricity,synthetic
469,Concrete road near Rourkela has developed cracks and is sinking in some areas.,Roads,synthetic
470,Construction debris has been dumped on the road near Aiginia repeatedly. motorists are in danger.,Roads,synthetic
471,The road from Nayapalli to the main highway is in terrible condition.,Roads,synthetic
472,We have not received water supply in Acharya Vihar for over a week. daily commuters are suffering.,Water,synthetic
473,The nullah near Bhubaneswar Old Town has not been desilted for two weeks now. Flooding is certain this monsoon.,Sanitation,synthetic
474,There is a huge crater on the main road near Patia for three days. the situation is getting worse daily.,Roads,synthetic
475,Garbage near Puri nagar has been burning for two days. Air is polluted.,Sanitation,synthetic
476,Power supply restored after 8 hours but now going off again near Saheed Nagar. elderly people are affected.,Electricity,synthetic
477,The countdown timer on traffic signal near Rasulgarh is not working even after multiple complaints.,Traffic,synthetic
478,Drainage channel near Kalinga Nagar has not been cleaned repeatedly. Stagnant water everywhere.,Sanitation,synthetic
479,Power supply fluctuates heavily near Puri causing damage to electronic devices.,Electricity,synthetic
480,Dirty and foul-smelling water is coming from taps in Cuttack even after multiple complaints. the situation is getting worse daily.,Water,synthetic
481,"Garbage van in Brahmapur colony is coming only every 3 days, waste is building up.",Sanitation,synthetic
482,There is a leaking water main near Kalinga Nagar street. Please fix urgently.,Water,synthetic
483,There has been no water supply in Bomikhal since Monday. it is causing inconvenience to residents.,Water,synthetic
484,The road near Unit-6 is full of potholes making two wheelers prone to accidents.,Roads,synthetic
485,Wrong side driving near Sambalpur is rampant. No enforcement whatsoever.,Traffic,synthetic
486,The drain near Rourkela is overflowing with sewage even after multiple complaints. children are at risk.,Sanitation,synthetic
487,Public toilet near IRC Village is broken and overflowing for over a week. the whole locality is inconvenienced.,Sanitation,synthetic
488,Park near Nayapalli has a broken compound wall. Outsiders are misusing it at night.,Parks,synthetic
489,The road from Dumduma to the main highway is in terrible condition.,Roads,synthetic
490,Concrete road near Brahmapur has developed cracks and is sinking in some areas.,Roads,synthetic
491,Sewer overflow from the drain near Brahmapur is entering residential buildings.,Sanitation,synthetic
492,Potholes on the road to Vani Vihar have still not been filled for two weeks now. it is a public safety hazard.,Roads,synthetic
493,Frequent voltage fluctuations in Patia are damaging our appliances for the past four days.,Electricity,synthetic
494,There has been no water supply in Patia for three days. it is a public safety hazard.,Water,synthetic
495,Garbage collection workers have not come to Khandagiri for the past four days. Rats are appearing.,Sanitation,synthetic
496,Loose garbage and plastic near IRC Village is blocking the roadside drain.,Sanitation,synthetic
497,The park lights in Tamando have been broken for the past four days. Park is unsafe after dark.,Parks,synthetic
498,The electricity distribution box near Master Canteen Square is exposed and unlocked. Danger risk.,Electricity,synthetic
499,The overhead water tank in Rasulgarh is leaking and overflowing on the road.,Water,synthetic
500,Garbage near Rourkela chowk has been burning for two days. Air is polluted.,Sanitation,synthetic
501,No zebra crossing near Bhubaneswar Old Town school. Children risk their life daily. urgent attention required.,Traffic,synthetic
502,Drainage channel near Jaydev Vihar has not been cleaned for more than a week. Stagnant water everywhere.,Sanitation,synthetic
503,The park near Bhubaneswar Old Town has not been maintained for more than a week. Grass is overgrown.,Parks,synthetic
504,Sewage is mixing with drinking water supply in Acharya Vihar. Very serious. children are at risk.,Water,synthetic
505,The electricity distribution box near Unit-4 is exposed and unlocked. Danger risk.,Electricity,synthetic
506,Garbage dumping near Tamando is happening illegally and nobody is stopping it.,Sanitation,synthetic
507,Water coming from the taps in Sambalpur is brown and unfit for drinking. urgent attention required.,Water,synthetic
508,Heavy potholes on Bomikhal nagar are causing accidents for two weeks now.,Roads,synthetic
509,Garbage dumping near Aiginia is happening illegally and nobody is stopping it.,Sanitation,synthetic
510,Joggers track in Rasulgarh park is full of potholes and cracks.,Parks,synthetic
511,Waste dumped near Vani Vihar flyover is attracting stray dogs and creating hazard.,Sanitation,synthetic
512,The traffic signal near Jaydev Vihar has been blinking yellow for over a week. children are at risk.,Traffic,synthetic
513,Park near IRC Village has a broken compound wall. Outsiders are misusing it at night.,Parks,synthetic
514,The road near Nayapalli is completely dark at night and full of potholes. we have been suffering daily.,Roads,synthetic
515,Dead animal carcass lying on the road near Unit-6 for three days. Extremely unhygienic.,Sanitation,synthetic
516,The street near Acharya Vihar is completely broken with multiple potholes. motorists are in danger.,Roads,synthetic
517,The road near Aiginia is completely dark at night and full of potholes. elderly people are affected.,Roads,synthetic
518,Sewage is mixing with drinking water supply in Unit-6. Very serious. please take immediate action.,Water,synthetic
519,Old water pipes in IRC Village are rusting and contaminating drinking water supply.,Water,synthetic
520,Garbage collection truck near Sishu Bhawan Chowk is coming once a week instead of daily.,Sanitation,synthetic
521,Public toilet near Sambalpur is broken and overflowing for the past four days. it is causing inconvenience to residents.,Sanitation,synthetic
522,Overhead electric cable near Unit-4 is sagging very low. Vehicles might touch it.,Electricity,synthetic
523,Water coming from the taps in Bomikhal is brown and unfit for drinking. urgent attention required.,Water,synthetic
524,Road maintenance work near Saheed Nagar was started but left incomplete for two weeks now.,Roads,synthetic
525,The fountain in Puri park has not been working repeatedly. It is a public attraction.,Parks,synthetic
526,The garden near Vani Vihar has dead plants that have not been replaced even after multiple complaints.,Parks,synthetic
527,Power supply fluctuates heavily near Barmunda causing damage to electronic devices.,Electricity,synthetic
528,Broken street light near Jaydev Vihar school is causing safety concern for students.,Electricity,synthetic
529,The transformer near Patia has been making loud noise and sparking even after multiple complaints.,Electricity,synthetic
530,Water pipeline near Dumduma has developed multiple leaks causing waterlogging.,Water,synthetic
531,Power supply fluctuates heavily near Tamando causing damage to electronic devices.,Electricity,synthetic
532,Construction debris has been dumped on the road near Aiginia since last month. there could be a serious accident.,Roads,synthetic
533,Open garbage dumping is happening near Saheed Nagar road. Foul smell everywhere.,Sanitation,synthetic
534,Garbage near Puri colony has been burning for two days. Air is polluted.,Sanitation,synthetic
535,Loose garbage and plastic near Nayapalli is blocking the roadside drain.,Sanitation,synthetic
536,New electricity connection applied for near Rasulgarh but not provided since last week.,Electricity,synthetic
537,The electricity distribution box near Jaydev Vihar is exposed and unlocked. Danger risk.,Electricity,synthetic
538,The road in Barmunda colony has completely broken down after the monsoon. the situation is getting worse daily.,Roads,synthetic
539,Sewage drain near Tamando is blocked and water is overflowing on the road. the whole locality is inconvenienced.,Sanitation,synthetic
540,The chowk near Sishu Bhawan Chowk is completely broken with multiple potholes. it is causing inconvenience to residents.,Roads,synthetic
541,There has been no water supply in Unit-4 since last month. the situation is getting worse daily.,Water,synthetic
542,"The signal near Nayapalli has been blinking yellow for three days, it is chaos at peak hour.",Traffic,synthetic
543,Water pressure is very low in Patia colony. We are not getting enough water.,Water,synthetic
544,The park in Brahmapur has broken benches and no lights. Unsafe at night.,Parks,synthetic
545,Road near Unit-6 gets flooded every time it rains due to poor surface drainage.,Roads,synthetic
546,Overgrown bushes in Aiginia park are becoming shelter for antisocial elements.,Parks,synthetic
547,The park lights in Saheed Nagar have been broken for more than a week. Park is unsafe after dark.,Parks,synthetic
548,Public toilet near Nayapalli is broken and overflowing since Monday. the whole locality is inconvenienced.,Sanitation,synthetic
549,Joggers track in Kalinga Nagar park is full of potholes and cracks.,Parks,synthetic
550,There is a live electric wire lying on the road near Saheed Nagar. Very dangerous. daily commuters are suffering.,Electricity,synthetic
551,There is a huge crater on the main road near Rasulgarh for two weeks now. elderly people are affected.,Roads,synthetic
552,Electric pole in Tamando colony is leaning and might fall during rain. we have been suffering daily.,Electricity,synthetic
553,Broken road near Kalinga Nagar is flooded with water during rains. elderly people are affected.,Roads,synthetic
554,The colony near Jaydev Vihar is completely broken with multiple potholes. the situation is getting worse daily.,Roads,synthetic
555,The traffic signal at Rourkela crossroad has been dark for more than a week. Manual control needed.,Traffic,synthetic
556,The electricity distribution box near Khandagiri is exposed and unlocked. Danger risk.,Electricity,synthetic
557,The footpath on Aiginia square is broken and dangerous for pedestrians.,Roads,synthetic
558,Concrete road near Chandrasekharpur has developed cracks and is sinking in some areas.,Roads,synthetic
559,Road rage incidents near IRC Village junction are increasing due to no signals.,Traffic,synthetic
560,Water pipe near Saheed Nagar burst during road construction and has not been repaired.,Water,synthetic
561,Dirty and foul-smelling water is coming from taps in Dumduma again and again. elderly people are affected.,Water,synthetic
562,The traffic signal near Chandrasekharpur has been blinking yellow even after multiple complaints. the situation is getting worse daily.,Traffic,synthetic
563,Garbage collection truck near Brahmapur is coming once a week instead of daily.,Sanitation,synthetic
564,Electricity transformer near Sambalpur has broken down since last week. Whole street affected.,Electricity,synthetic
565,"A water pipeline near IRC Village is leaking heavily, causing road damage too.",Water,synthetic
566,There is a leaking water main near Rourkela colony. Please fix urgently.,Water,synthetic
567,Night time racing of vehicles near Cuttack is a serious safety issue. children are at risk.,Traffic,synthetic
568,There is no traffic signal at the junction near Dumduma. Accidents are happening.,Traffic,synthetic
569,The road near Saheed Nagar is full of potholes making two wheelers prone to accidents.,Roads,synthetic
570,Road dividers on Jaydev Vihar nagar are broken and posing danger to motorists.,Roads,synthetic
571,Power supply restored after 8 hours but now going off again near Master Canteen Square. children are at risk.,Electricity,synthetic
572,No drinking water in Chandrasekharpur colony for two weeks now. Residents are buying water at high cost.,Water,synthetic
573,High tension wire near Tamando is passing very low over the road. Very dangerous.,Electricity,synthetic
574,Speed breaker near Bhubaneswar Old Town has no markings and is causing accidents.,Roads,synthetic
575,Garbage collection workers have not come to Unit-4 for two weeks now. Rats are appearing.,Sanitation,synthetic
576,There is a live electric wire lying on the road near Dumduma. Very dangerous. motorists are in danger.,Electricity,synthetic
577,The main arterial road near Tamando has not been repaired since last month. it is causing inconvenience to residents.,Roads,synthetic
578,"Garbage van in Rourkela colony is coming only every 3 days, waste is building up.",Sanitation,synthetic
579,Heavy potholes on Sambalpur nagar are causing accidents for over a week.,Roads,synthetic
580,Speed breaker near Master Canteen Square has no markings and is causing accidents.,Roads,synthetic
581,Bus stop near Sishu Bhawan Chowk has no shelter. Buses also stop in middle of road causing jam.,Traffic,synthetic
582,Water pipeline near Puri has developed multiple leaks causing waterlogging.,Water,synthetic
583,Electric pole in Vani Vihar colony is leaning and might fall during rain. there could be a serious accident.,Electricity,synthetic
584,Open drainage near Puri is breeding mosquitoes. Residents are falling sick.,Sanitation,synthetic
585,Concrete road near Saheed Nagar has developed cracks and is sinking in some areas.,Roads,synthetic
586,The overhead water tank in Kalinga Nagar is leaking and overflowing on the road.,Water,synthetic
587,Stray dogs have occupied the park near Saheed Nagar. Children cannot play safely.,Parks,synthetic
588,Auto rickshaws are blocking the entire road near Barmunda marg every evening.,Traffic,synthetic
589,Bus stop near Barmunda has no shelter. Buses also stop in middle of road causing jam.,Traffic,synthetic
590,Road near Sishu Bhawan Chowk gets flooded every time it rains due to poor surface drainage.,Roads,synthetic
591,Large potholes near Bhubaneswar Old Town are causing traffic diversions for the past four days.,Roads,synthetic
592,Drain near Unit-4 is choked with plastic waste. Sewage spilling on footpath.,Sanitation,synthetic
593,There is a leaking water main near Kalinga Nagar nagar. Please fix urgently.,Water,synthetic
594,Water pipeline near Vani Vihar has developed multiple leaks causing waterlogging.,Water,synthetic
595,Garbage collection workers have not come to Vani Vihar since Monday. Rats are appearing.,Sanitation,synthetic
596,The park near Puri has broken swings and slides. Children are getting injured.,Parks,synthetic
597,The park in Saheed Nagar has broken benches and no lights. Unsafe at night.,Parks,synthetic
598,Electricity transformer near Chandrasekharpur has broken down still not fixed. Whole street affected.,Electricity,synthetic
599,The sewer line near Chandrasekharpur is blocked causing overflow on the main road. there could be a serious accident.,Sanitation,synthetic
600,There is a live electric wire lying on the road near Puri. Very dangerous. it is a public safety hazard.,Electricity,synthetic
601,Night time racing of vehicles near Tamando is a serious safety issue. urgent attention required.,Traffic,synthetic
602,Speeding vehicles on Dumduma square are a constant threat. Need speed breaker.,Traffic,synthetic
603,Our electricity bill near Tamando has come 3 times higher than normal without reason.,Electricity,synthetic
604,Sewage is mixing with drinking water supply in Tamando. Very serious. there could be a serious accident.,Water,synthetic
605,The park near Rourkela has not been maintained for more than a week. Grass is overgrown.,Parks,synthetic
606,Broken street light near Master Canteen Square school is causing safety concern for students.,Electricity,synthetic
607,There is frequent power cut in Cuttack even after multiple complaints. it is a public safety hazard.,Electricity,synthetic
608,The road divider near Bomikhal is broken and there is no barricading. the whole locality is inconvenienced.,Roads,synthetic
609,The traffic signal near Sambalpur is not working for two weeks now. Huge traffic jams forming.,Traffic,synthetic
610,Concrete road near Brahmapur has developed cracks and is sinking in some areas.,Roads,synthetic
611,Sewage is mixing with drinking water supply in Sishu Bhawan Chowk. Very serious. there could be a serious accident.,Water,synthetic
612,New electricity connection applied for near Unit-4 but not provided again and again.,Electricity,synthetic
613,Heavy potholes on Acharya Vihar road are causing accidents again and again.,Roads,synthetic
614,The park lights in Unit-6 have been broken since Monday. Park is unsafe after dark.,Parks,synthetic
615,Water pressure is very low in Dumduma chowk. We are not getting enough water.,Water,synthetic
616,Water pipeline near Saheed Nagar has developed multiple leaks causing waterlogging.,Water,synthetic
617,Potholes on the road to Unit-6 have still not been filled still not fixed. we have been suffering daily.,Roads,synthetic
618,Garbage has not been collected in Unit-6 still not fixed. there could be a serious accident.,Sanitation,synthetic
619,Overhead electric cable near Unit-6 is sagging very low. Vehicles might touch it.,Electricity,synthetic
620,Concrete road near Khandagiri has developed cracks and is sinking in some areas.,Roads,synthetic
621,There has been no water supply in Unit-6 for two weeks now. the situation is getting worse daily.,Water,synthetic
622,The electric meter box near Master Canteen Square is open and exposed to rain. Safety risk.,Electricity,synthetic
623,Broken street light near Unit-4 school is causing safety concern for students.,Electricity,synthetic
624,We have not received water supply in Khandagiri since last month. children are at risk.,Water,synthetic
625,Road cutting work was done near Bomikhal but it has not been repaired for over a week.,Roads,synthetic
626,No road marking or lane discipline near Master Canteen Square. Total traffic disorder.,Traffic,synthetic
627,Broken road near Puri is flooded with water during rains. there could be a serious accident.,Roads,synthetic
628,The park near Acharya Vihar has not been maintained repeatedly. Grass is overgrown.,Parks,synthetic
629,The colony near Bomikhal is completely broken with multiple potholes. urgent attention required.,Roads,synthetic
630,The park in Khandagiri has broken benches and no lights. Unsafe at night.,Parks,synthetic
631,The borwell near Chandrasekharpur is not working since last week. No drinking water available.,Water,synthetic
632,The traffic signal near Bhubaneswar Old Town is not working since last month. Huge traffic jams forming.,Traffic,synthetic
633,Road rage incidents near IRC Village junction are increasing due to no signals.,Traffic,synthetic
634,Traffic signal poles near Sishu Bhawan Chowk are damaged and wires are hanging out.,Traffic,synthetic
635,Water pressure is very low in Unit-6 chowk. We are not getting enough water.,Water,synthetic
636,Road dividers on Bhubaneswar Old Town marg are broken and posing danger to motorists.,Roads,synthetic
637,Trucks are parked illegally overnight on Bhubaneswar Old Town colony. daily commuters are suffering.,Traffic,synthetic
638,Power outage in Rourkela since last week. All perishable food is getting wasted.,Electricity,synthetic
639,Public toilet near Vani Vihar is broken and overflowing for two weeks now. urgent attention required.,Sanitation,synthetic
640,Heavy potholes on Khandagiri marg are causing accidents even after multiple complaints.,Roads,synthetic
641,"Vehicles are parked on both sides of the road near Bhubaneswar Old Town, blocking traffic.",Traffic,synthetic
642,The road near Cuttack is completely dark at night and full of potholes. urgent attention required.,Roads,synthetic
643,Dirty and foul-smelling water is coming from taps in Nayapalli again and again. this needs to be fixed immediately.,Water,synthetic
