id,text,text_clean,department,source
224,The pedestrian signal near Acharya Vihar is not working even after multiple complaints. Pedestrians at risk.,pedestrian signal acharya vihar not work multiple complaint pedestrian risk,Traffic,synthetic
225,The footpath on Khandagiri nagar is broken and dangerous for pedestrians.,footpath khandagiri nagar break dangerous pedestrian,Roads,synthetic
226,There is a large pile of garbage near Acharya Vihar that has not been cleared for over a week.,large pile garbage acharya vihar not clear week,Sanitation,synthetic
227,Garbage has not been collected in Saheed Nagar for over a week. please take immediate action.,garbage not collect saheed nagar week,Sanitation,synthetic
228,The bridge near Nayapalli has damaged railings. It is very unsafe.,bridge nayapalli damage railing unsafe,Roads,synthetic
229,Auto rickshaws are blocking the entire road near Patia square every evening.,auto rickshaw block entire road patia square evening,Traffic,synthetic
230,Drain near Rourkela is choked with plastic waste. Sewage spilling on footpath.,drain rourkela choke plastic waste sewage spill footpath,Sanitation,synthetic
231,Water supply timings in IRC Village are erratic. We never know when water will come.,water supply timing irc village erratic never know water come,Water,synthetic
232,No drinking water facility in Bhubaneswar Old Town park. Residents request a water tap.,no drinking water facility bhubaneswar old town park resident water tap,Parks,synthetic
233,Public toilet near Barmunda is broken and overflowing for over a week. this needs to be fixed immediately.,public toilet barmunda break overflow week need fix immediately,Sanitation,synthetic
234,Electric pole in Bhubaneswar Old Town colony is leaning and might fall during rain. it is causing inconvenience to residents.,electric pole bhubaneswar old town colony lean fall rain cause inconvenience resident,Electricity,synthetic
235,Water coming from the taps in Puri is brown and unfit for drinking. it is causing inconvenience to residents.,water come tap puri brown unfit drink cause inconvenience resident,Water,synthetic
236,The road from Rourkela to the main highway is in terrible condition.,road rourkela main highway terrible condition,Roads,synthetic
237,Bus stop near Unit-6 has no shelter. Buses also stop in middle of road causing jam.,bus stop unit no shelter bus stop middle road cause jam,Traffic,synthetic
238,No water supply in our area near Tamando since the maintenance work started again and again.,no water supply tamando maintenance work start,Water,synthetic
239,Garden area near Dumduma is being used for garbage dumping since last week. it is causing inconvenience to residents.,garden dumduma garbage dumping week cause inconvenience resident,Parks,synthetic
240,Dirty and foul-smelling water is coming from taps in Unit-4 since Monday. we have been suffering daily.,dirty foul smelling water come tap unit monday suffer daily,Water,synthetic
241,Night time racing of vehicles near Barmunda is a serious safety issue. it is causing inconvenience to residents.,night time racing vehicle barmunda safety issue cause inconvenience resident,Traffic,synthetic
242,The road in Rasulgarh colony has completely broken down after the monsoon. there could be a serious accident.,road rasulgarh colony completely break monsoon accident,Roads,synthetic
243,The underground water pipeline near Cuttack is broken and water is gushing out.,underground water pipeline cuttack break water gush,Water,synthetic
244,The road surface near IRC Village has completely eroded. Vehicles are getting damaged.,road surface irc village completely erode vehicle get damage,Roads,synthetic
245,The water pipe near IRC Village has burst and water is being wasted even after multiple complaints.,water pipe irc village burst water waste multiple complaint,Water,synthetic
246,Water tanker has not come to Patia since Monday. Residents are suffering.,water tanker not come patia monday resident suffer,Water,synthetic
247,The drain near Saheed Nagar is overflowing with sewage for the past four days. motorists are in danger.,drain saheed nagar overflow sewage past day motorist danger,Sanitation,synthetic
248,There is a huge crater on the main road near Puri repeatedly. elderly people are affected.,huge crater main road puri repeatedly elderly people affect,Roads,synthetic
249,Traffic signal poles near Puri are damaged and wires are hanging out.,traffic signal pole puri damage wire hang,Traffic,synthetic
250,Power supply fluctuates heavily near Unit-4 causing damage to electronic devices.,power supply fluctuate heavily unit cause damage electronic device,Electricity,synthetic
251,Footpath near Vani Vihar occupied by vendors forcing pedestrians on the road.,footpath vani vihar occupy vendor force pedestrian road,Traffic,synthetic
252,The road in Bomikhal colony has completely broken down after the monsoon. elderly people are affected.,road bomikhal colony completely break monsoon elderly people affect,Roads,synthetic
253,Road near Sambalpur has been heavily damaged due to recent digging work again and again.,road sambalpur heavily damage recent digging work,Roads,synthetic
254,New electricity connection applied for near Unit-4 but not provided for three days.,new electricity connection apply unit not provide day,Electricity,synthetic
255,The park lights in Sambalpur have been broken for the past four days. Park is unsafe after dark.,park light sambalpur break past day park unsafe dark,Parks,synthetic
256,Community water tap near Unit-4 has been broken for more than a week. the whole locality is inconvenienced.,community water tap unit break week locality inconvenience,Water,synthetic
257,Power supply restored after 8 hours but now going off again near Sambalpur. we have been suffering daily.,power supply restore hour go sambalpur suffer daily,Electricity,synthetic
258,The electric connection to IRC Village community hall has been disconnected wrongly.,electric connection irc village community hall disconnect wrongly,Electricity,synthetic
259,Auto rickshaws are blocking the entire road near Master Canteen Square street every evening.,auto rickshaw block entire road master canteen square street evening,Traffic,synthetic
260,The main water supply valve near Bhubaneswar Old Town is stuck and causing low pressure issues.,main water supply valve bhubaneswar old town stuck cause low pressure issue,Water,synthetic
261,There is a huge crater on the main road near Bomikhal since Monday. children are at risk.,huge crater main road bomikhal monday child risk,Roads,synthetic
262,Concrete road near Tamando has developed cracks and is sinking in some areas.,concrete road tamando develop crack sink area,Roads,synthetic
263,Power outage in Sambalpur since last week. All perishable food is getting wasted.,power outage sambalpur week perishable food get waste,Electricity,synthetic
264,Garden area near Saheed Nagar is being used for garbage dumping even after multiple complaints. it is a public safety hazard.,garden saheed nagar garbage dump multiple complaint public safety hazard,Parks,synthetic
265,Overhead electric cable near Sishu Bhawan Chowk is sagging very low. Vehicles might touch it.,overhead electric cable sishu bhawan chowk sag low vehicle touch,Electricity,synthetic
266,The electricity distribution box near Bomikhal is exposed and unlocked. Danger risk.,electricity distribution box bomikhal expose unlocked danger risk,Electricity,synthetic
267,The electric pole near Jaydev Vihar has a loose wire hanging dangerously.,electric pole jaydev vihar loose wire hang dangerously,Electricity,synthetic
268,Our electricity bill near Bomikhal has come 3 times higher than normal without reason.,electricity bill bomikhal come time high normal reason,Electricity,synthetic
269,"The signal near Bhubaneswar Old Town has been blinking yellow for three days, it is chaos at peak hour.",signal bhubaneswar old town blink yellow day chaos peak hour,Traffic,synthetic
270,Water coming from the taps in IRC Village is brown and unfit for drinking. daily commuters are suffering.,water come tap irc village brown unfit drink daily commuter suffer,Water,synthetic
271,"Vehicles are parked on both sides of the road near Master Canteen Square, blocking traffic.",vehicle park side road master canteen square block traffic,Traffic,synthetic
272,Sewage is mixing with drinking water supply in Sambalpur. Very serious. elderly people are affected.,sewage mix drinking water supply sambalpur elderly people affect,Water,synthetic
273,The park in Khandagiri has broken benches and no lights. Unsafe at night.,park khandagiri break bench no light unsafe night,Parks,synthetic
274,The streetlight near Barmunda has been not working for two weeks now. we have been suffering daily.,streetlight barmunda not work week suffer daily,Electricity,synthetic
275,The community dustbin near Cuttack is overflowing for two weeks now. elderly people are affected.,community dustbin cuttack overflow week elderly people affect,Sanitation,synthetic
276,The bridge near Patia has damaged railings. It is very unsafe.,bridge patia damage railing unsafe,Roads,synthetic
277,The countdown timer on traffic signal near Brahmapur is not working since last month.,countdown timer traffic signal brahmapur not work month,Traffic,synthetic
278,The nullah near Aiginia has not been desilted for the past four days. Flooding is certain this monsoon.,nullah aiginia not desilte past day flooding certain monsoon,Sanitation,synthetic
279,The park lights in Unit-6 have been broken since Monday. Park is unsafe after dark.,park light unit break monday park unsafe dark,Parks,synthetic
280,Garden area near Unit-4 is being used for garbage dumping for two weeks now. urgent attention required.,garden unit garbage dumping week urgent attention require,Parks,synthetic
281,No road marking or lane discipline near Saheed Nagar. Total traffic disorder.,no road mark lane discipline saheed nagar total traffic disorder,Traffic,synthetic
282,Water supply timings in Dumduma are erratic. We never know when water will come.,water supply timing dumduma erratic never know water come,Water,synthetic
283,Garbage near Unit-4 lane has been burning for two days. Air is polluted.,garbage unit lane burn day air pollute,Sanitation,synthetic
284,Road near Bomikhal has been heavily damaged due to recent digging work for the past four days.,road bomikhal heavily damage recent dig work past day,Roads,synthetic
285,Power supply in Rasulgarh goes off every night even after multiple complaints. We face a lot of issues.,power supply rasulgarh go night multiple complaint face lot issue,Electricity,synthetic
286,Power cuts in IRC Village are lasting more than 6 hours daily since Monday. it is a public safety hazard.,power cut irc village last hour daily monday public safety hazard,Electricity,synthetic
287,There is a large pile of garbage near Rourkela that has not been cleared for more than a week.,large pile garbage rourkela not clear week,Sanitation,synthetic
288,The traffic signal at Cuttack crossroad has been dark for over a week. Manual control needed.,traffic signal cuttack crossroad dark week manual control need,Traffic,synthetic
289,Road cutting work was done near Brahmapur but it has not been repaired since Monday.,road cutting work brahmapur not repair monday,Roads,synthetic
290,Water pressure is very low in Master Canteen Square street. We are not getting enough water.,water pressure low master canteen square street not get water,Water,synthetic
291,Sewage is mixing with drinking water supply in Nayapalli. Very serious. it is a public safety hazard.,sewage mix drinking water supply nayapalli public safety hazard,Water,synthetic
292,Trucks are parked illegally overnight on Kalinga Nagar nagar. children are at risk.,truck park illegally overnight kalinga nagar nagar child risk,Traffic,synthetic
293,Illegal parking near Acharya Vihar lane is blocking traffic flow completely.,illegal parking acharya vihar lane block traffic flow completely,Traffic,synthetic
294,Dead animal carcass lying on the road near Master Canteen Square for the past four days. Extremely unhygienic.,dead animal carcass lie road master canteen square past day extremely unhygienic,Sanitation,synthetic
295,The electric pole near Puri has a loose wire hanging dangerously.,electric pole puri loose wire hang dangerously,Electricity,synthetic
296,There is a huge crater on the main road near Sambalpur still not fixed. urgent attention required.,huge crater main road sambalpur not fix urgent attention require,Roads,synthetic
297,The road near Khandagiri is full of potholes making two wheelers prone to accidents.,road khandagiri pothole make wheeler prone accident,Roads,synthetic
298,The main arterial road near Kalinga Nagar has not been repaired still not fixed. children are at risk.,main arterial road kalinga nagar not repair not fix child risk,Roads,synthetic
299,Stray dogs have occupied the park near Acharya Vihar. Children cannot play safely.,stray dog occupy park acharya vihar child not play safely,Parks,synthetic
300,The transformer near IRC Village has been making loud noise and sparking since last week.,transformer irc village make loud noise spark week,Electricity,synthetic
301,The lane near Patia is completely broken with multiple potholes. children are at risk.,lane patia completely break multiple pothole child risk,Roads,synthetic
302,Bus stop near Kalinga Nagar has no shelter. Buses also stop in middle of road causing jam.,bus stop kalinga nagar no shelter bus stop middle road cause jam,Traffic,synthetic
303,Large potholes near Barmunda are causing traffic diversions repeatedly.,large pothole barmunda cause traffic diversion repeatedly,Roads,synthetic
304,Broken street light near Master Canteen Square school is causing safety concern for students.,broken street light master canteen square school cause safety concern student,Electricity,synthetic
305,The traffic signal near Tamando has been blinking yellow since last week. daily commuters are suffering.,traffic signal tamando blink yellow week daily commuter suffer,Traffic,synthetic
306,Water pipe near Sishu Bhawan Chowk burst during road construction and has not been repaired.,water pipe sishu bhawan chowk burst road construction not repair,Water,synthetic
307,Electric pole in Kalinga Nagar colony is leaning and might fall during rain. this needs to be fixed immediately.,electric pole kalinga nagar colony lean fall rain need fix immediately,Electricity,synthetic
308,The road near Jaydev Vihar has a large pothole for the past four days. the situation is getting worse daily.,road jaydev vihar large pothole past day situation get bad daily,Roads,synthetic
309,Road cutting work was done near Jaydev Vihar but it has not been repaired since last week.,road cutting work jaydev vihar not repair week,Roads,synthetic
310,There is no traffic signal at the junction near Kalinga Nagar. Accidents are happening.,no traffic signal junction kalinga nagar accident happen,Traffic,synthetic
311,Road cutting work was done near IRC Village but it has not been repaired for two weeks now.,road cutting work irc village not repair week,Roads,synthetic
312,Power outage in Aiginia again and again. All perishable food is getting wasted.,power outage aiginia perishable food get waste,Electricity,synthetic
313,Power cuts in Saheed Nagar are lasting more than 6 hours daily since Monday. motorists are in danger.,power cut saheed nagar last hour daily monday motorist danger,Electricity,synthetic
314,Our electricity bill near Master Canteen Square has come 3 times higher than normal without reason.,electricity bill master canteen square come time high normal reason,Electricity,synthetic
315,Dirty and foul-smelling water is coming from taps in Bomikhal since Monday. there could be a serious accident.,dirty foul smelling water come tap bomikhal monday accident,Water,synthetic
316,Waste dumped near Saheed Nagar flyover is attracting stray dogs and creating hazard.,waste dump saheed nagar flyover attract stray dog create hazard,Sanitation,synthetic
317,Footpath near Saheed Nagar occupied by vendors forcing pedestrians on the road.,footpath saheed nagar occupy vendor force pedestrian road,Traffic,synthetic
318,Broken road near Rasulgarh is flooded with water during rains. elderly people are affected.,break road rasulgarh flood water rain elderly people affect,Roads,synthetic
319,There is a live electric wire lying on the road near Sishu Bhawan Chowk. Very dangerous. this needs to be fixed immediately.,live electric wire lie road sishu bhawan chowk dangerous need fix immediately,Electricity,synthetic
320,"The signal near Sambalpur has been blinking yellow for three days, it is chaos at peak hour.",signal sambalpur blink yellow day chaos peak hour,Traffic,synthetic
321,Frequent voltage fluctuations in Jaydev Vihar are damaging our appliances repeatedly.,frequent voltage fluctuation jaydev vihar damage appliance repeatedly,Electricity,synthetic
322,Joggers track in Dumduma park is full of potholes and cracks.,jogger track dumduma park pothole crack,Parks,synthetic
323,The nullah near Bomikhal has not been desilted repeatedly. Flooding is certain this monsoon.,nullah bomikhal not desilte repeatedly flood certain monsoon,Sanitation,synthetic
324,New electricity connection applied for near Patia but not provided repeatedly.,new electricity connection apply patia not provide repeatedly,Electricity,synthetic
325,There is frequent power cut in Sishu Bhawan Chowk for the past four days. please take immediate action.,frequent power cut sishu bhawan chowk past day,Electricity,synthetic
326,Road rage incidents near Unit-4 junction are increasing due to no signals.,road rage incident unit junction increase no signal,Traffic,synthetic
327,No signal board at the intersection near Puri. Drivers don't know right of way.,no signal board intersection puri driver don know right way,Traffic,synthetic
328,Park near Khandagiri has no dustbins and waste is littered everywhere.,park khandagiri no dustbin waste litter,Parks,synthetic
329,The water supply in Khandagiri has been disrupted still not fixed. please take immediate action.,water supply khandagiri disrupt not fix,Water,synthetic
330,Overhead electric cable near Rourkela is sagging very low. Vehicles might touch it.,overhead electric cable rourkela sag low vehicle touch,Electricity,synthetic
331,Road maintenance work near Unit-4 was started but left incomplete since last week.,road maintenance work unit start leave incomplete week,Roads,synthetic
332,Road maintenance work near Sishu Bhawan Chowk was started but left incomplete for over a week.,road maintenance work sishu bhawan chowk start leave incomplete week,Roads,synthetic
333,Open drainage near Dumduma is breeding mosquitoes. Residents are falling sick.,open drainage dumduma breed mosquito resident fall sick,Sanitation,synthetic
334,The traffic signal near Sambalpur is not working again and again. Huge traffic jams forming.,traffic signal sambalpur not work huge traffic jam form,Traffic,synthetic
335,The electric pole near Cuttack has a loose wire hanging dangerously.,electric pole cuttack loose wire hang dangerously,Electricity,synthetic
336,Community water tap near Bomikhal has been broken again and again. motorists are in danger.,community water tap bomikhal break motorist danger,Water,synthetic
337,Water pressure is very low in Jaydev Vihar square. We are not getting enough water.,water pressure low jaydev vihar square not get water,Water,synthetic
338,Community water tap near Cuttack has been broken for two weeks now. children are at risk.,community water tap cuttack break week child risk,Water,synthetic
339,Park in Unit-4 has an open drainage ditch inside it which is dangerous for children.,park unit open drainage ditch inside dangerous child,Parks,synthetic
340,The road divider near Patia is broken and there is no barricading. children are at risk.,road divider patia break no barricading child risk,Roads,synthetic
341,The park in Unit-6 has broken benches and no lights. Unsafe at night.,park unit break bench no light unsafe night,Parks,synthetic
342,The nullah near Brahmapur has not been desilted repeatedly. Flooding is certain this monsoon.,nullah brahmapur not desilte repeatedly flood certain monsoon,Sanitation,synthetic
343,Water coming from the taps in Dumduma is brown and unfit for drinking. urgent attention required.,water come tap dumduma brown unfit drink urgent attention require,Water,synthetic
344,The service road near Chandrasekharpur is completely damaged with loose gravel everywhere.,service road chandrasekharpur completely damage loose gravel,Roads,synthetic
345,Construction debris has been dumped on the road near Aiginia for more than a week. please take immediate action.,construction debris dump road aiginia week,Roads,synthetic
346,Potholes on the road to Brahmapur have still not been filled repeatedly. please take immediate action.,pothole road brahmapur not fill repeatedly,Roads,synthetic
347,Three-wheeler goods vehicles parked on footpath near Puri blocking pedestrians.,wheeler good vehicle park footpath puri block pedestrian,Traffic,synthetic
348,The garbage van has not visited Puri for more than a week. Waste is piling up on the road.,garbage van not visit puri week waste pile road,Sanitation,synthetic
349,The park lights in Unit-6 have been broken since last month. Park is unsafe after dark.,park light unit break month park unsafe dark,Parks,synthetic
350,Road near Khandagiri gets flooded every time it rains due to poor surface drainage.,road khandagiri get flood time rain poor surface drainage,Roads,synthetic
351,"A water pipeline near Saheed Nagar is leaking heavily, causing road damage too.",water pipeline saheed nagar leak heavily cause road damage,Water,synthetic
352,Water pressure is very low in Master Canteen Square lane. We are not getting enough water.,water pressure low master canteen square lane not get water,Water,synthetic
353,School zone near Unit-4 has no speed limits enforced. Children are in danger. motorists are in danger.,school zone unit no speed limit enforce child danger motorist danger,Traffic,synthetic
354,Power supply restored after 8 hours but now going off again near Rourkela. daily commuters are suffering.,power supply restore hour go rourkela daily commuter suffer,Electricity,synthetic
355,The overhead water tank in Cuttack is leaking and overflowing on the road.,overhead water tank cuttack leak overflow road,Water,synthetic
356,Illegal parking near Aiginia marg is blocking traffic flow completely.,illegal parking aiginia marg block traffic flow completely,Traffic,synthetic
357,No signal board at the intersection near Acharya Vihar. Drivers don't know right of way.,no signal board intersection acharya vihar driver don know right way,Traffic,synthetic
358,Road near Chandrasekharpur has been dug for cable laying and not repaired for two weeks now. this needs to be fixed immediately.,road chandrasekharpur dig cable lay not repair week need fix immediately,Roads,synthetic
359,Supply water in Unit-4 has high chlorine smell. Not suitable for cooking. it is a public safety hazard.,supply water unit high chlorine smell not suitable cook public safety hazard,Water,synthetic
360,U-turn restriction sign near Acharya Vihar has fallen down even after multiple complaints. Causing confusion.,turn restriction sign acharya vihar fall multiple complaint cause confusion,Traffic,synthetic
361,Drain near Patia is choked with plastic waste. Sewage spilling on footpath.,drain patia choke plastic waste sewage spill footpath,Sanitation,synthetic
362,Garbage collection truck near Puri is coming once a week instead of daily.,garbage collection truck puri come week instead daily,Sanitation,synthetic
363,Garbage dumping near Unit-6 is happening illegally and nobody is stopping it.,garbage dumping unit happen illegally stop,Sanitation,synthetic
364,Sewage is mixing with drinking water supply in Master Canteen Square. Very serious. we have been suffering daily.,sewage mix drinking water supply master canteen square suffer daily,Water,synthetic
365,The drain near Cuttack is overflowing with sewage again and again. the situation is getting worse daily.,drain cuttack overflow sewage situation get bad daily,Sanitation,synthetic
366,Road rage incidents near Vani Vihar junction are increasing due to no signals.,road rage incident vani vihar junction increase no signal,Traffic,synthetic
367,Road near Vani Vihar gets flooded every time it rains due to poor surface drainage.,road vani vihar get flood time rain poor surface drainage,Roads,synthetic
368,Garbage collection truck near Bhubaneswar Old Town is coming once a week instead of daily.,garbage collection truck bhubaneswar old town come week instead daily,Sanitation,synthetic
369,Trees in Brahmapur park have not been trimmed since Monday. Branches are a hazard.,tree brahmapur park not trim monday branch hazard,Parks,synthetic
370,Night time racing of vehicles near Unit-4 is a serious safety issue. there could be a serious accident.,night time racing vehicle unit safety issue accident,Traffic,synthetic
371,Supply water in Unit-6 has high chlorine smell. Not suitable for cooking. urgent attention required.,supply water unit high chlorine smell not suitable cook urgent attention require,Water,synthetic
372,Park near Sambalpur has no dustbins and waste is littered everywhere.,park sambalpur no dustbin waste litter,Parks,synthetic
373,Heavy vehicles are parked on the main road near Master Canteen Square since Monday causing congestion.,heavy vehicle park main road master canteen square monday cause congestion,Traffic,synthetic
374,There is no traffic control at Unit-6 during peak hours. Chaos every morning.,no traffic control unit peak hour chaos morning,Traffic,synthetic
375,The pedestrian signal near Saheed Nagar is not working since Monday. Pedestrians at risk.,pedestrian signal saheed nagar not work monday pedestrian risk,Traffic,synthetic
376,Concrete road near Khandagiri has developed cracks and is sinking in some areas.,concrete road khandagiri develop crack sink area,Roads,synthetic
377,Loose garbage and plastic near Kalinga Nagar is blocking the roadside drain.,loose garbage plastic kalinga nagar block roadside drain,Sanitation,synthetic
378,Encroachment on the park in Unit-4 is reducing the open space for residents.,encroachment park unit reduce open space resident,Parks,synthetic
379,Waste dumped near Tamando flyover is attracting stray dogs and creating hazard.,waste dump tamando flyover attract stray dog create hazard,Sanitation,synthetic
380,The electric pole near Sishu Bhawan Chowk has a loose wire hanging dangerously.,electric pole sishu bhawan chowk loose wire hang dangerously,Electricity,synthetic
381,Encroachment on the park in Vani Vihar is reducing the open space for residents.,encroachment park vani vihar reduce open space resident,Parks,synthetic
382,The road divider near Brahmapur is broken and there is no barricading. daily commuters are suffering.,road divider brahmapur break no barricade daily commuter suffer,Roads,synthetic
383,The road near Master Canteen Square is full of potholes making two wheelers prone to accidents.,road master canteen square pothole make wheeler prone accident,Roads,synthetic
384,Speed breaker near Cuttack has no markings and is causing accidents.,speed breaker cuttack no marking cause accident,Roads,synthetic
385,The garden near Saheed Nagar has dead plants that have not been replaced since last week.,garden saheed nagar dead plant not replace week,Parks,synthetic
386,The main arterial road near Unit-4 has not been repaired repeatedly. children are at risk.,main arterial road unit not repair repeatedly child risk,Roads,synthetic
387,The water meter in our building near Khandagiri is faulty and showing excess usage.,water meter building khandagiri faulty show excess usage,Water,synthetic
388,Potholes on the road to Rourkela have still not been filled for more than a week. elderly people are affected.,pothole road rourkela not fill week elderly people affect,Roads,synthetic
389,Footpath near Unit-4 occupied by vendors forcing pedestrians on the road.,footpath unit occupy vendor force pedestrian road,Traffic,synthetic
390,There is frequent power cut in Rourkela still not fixed. motorists are in danger.,frequent power cut rourkela not fix motorist danger,Electricity,synthetic
391,The bridge near Acharya Vihar has damaged railings. It is very unsafe.,bridge acharya vihar damage railing unsafe,Roads,synthetic
392,The road near Tamando is full of potholes making two wheelers prone to accidents.,road tamando pothole make wheeler prone accident,Roads,synthetic
393,Electric pole in Cuttack colony is leaning and might fall during rain. it is causing inconvenience to residents.,electric pole cuttack colony lean fall rain cause inconvenience resident,Electricity,synthetic
394,Water pipe near Vani Vihar burst during road construction and has not been repaired.,water pipe vani vihar burst road construction not repair,Water,synthetic
395,Garbage dumping near Acharya Vihar is happening illegally and nobody is stopping it.,garbage dumping acharya vihar happen illegally stop,Sanitation,synthetic
396,The traffic signal at Saheed Nagar crossroad has been dark since last month. Manual control needed.,traffic signal saheed nagar crossroad dark month manual control need,Traffic,synthetic
397,The water meter in our building near Bhubaneswar Old Town is faulty and showing excess usage.,water meter building bhubaneswar old town faulty show excess usage,Water,synthetic
398,Footpath near Bhubaneswar Old Town occupied by vendors forcing pedestrians on the road.,footpath bhubaneswar old town occupy vendor force pedestrian road,Traffic,synthetic
399,Three-wheeler goods vehicles parked on footpath near IRC Village blocking pedestrians.,wheeler good vehicle park footpath irc village block pedestrian,Traffic,synthetic
400,The nullah near Cuttack has not been desilted again and again. Flooding is certain this monsoon.,nullah cuttack not desilte flooding certain monsoon,Sanitation,synthetic
401,There is no traffic signal at the junction near Bhubaneswar Old Town. Accidents are happening.,no traffic signal junction bhubaneswar old town accident happen,Traffic,synthetic
402,Speed breaker near Unit-6 has no markings and is causing accidents.,speed breaker unit no marking cause accident,Roads,synthetic
403,No road marking or lane discipline near Vani Vihar. Total traffic disorder.,no road mark lane discipline vani vihar total traffic disorder,Traffic,synthetic
404,Open defecation is happening near the park in Patia every morning.,open defecation happen park patia morning,Sanitation,synthetic
405,The community dustbin near Chandrasekharpur is overflowing for more than a week. the whole locality is inconvenienced.,community dustbin chandrasekharpur overflow week locality inconvenience,Sanitation,synthetic
406,The garden near Unit-6 has dead plants that have not been replaced since Monday.,garden unit dead plant not replace monday,Parks,synthetic
407,Traffic signal timing near Jaydev Vihar is wrong. Green for 5 seconds is too short.,traffic signal timing jaydev vihar wrong green second short,Traffic,synthetic
408,Power supply restored after 8 hours but now going off again near Kalinga Nagar. it is causing inconvenience to residents.,power supply restore hour go kalinga nagar cause inconvenience resident,Electricity,synthetic
409,Open defecation is happening near the park in Unit-4 every morning.,open defecation happen park unit morning,Sanitation,synthetic
410,"A water pipeline near Patia is leaking heavily, causing road damage too.",water pipeline patia leak heavily cause road damage,Water,synthetic
411,Streetlights on Nayapalli chowk have been out repeatedly. Area is unsafe at night.,streetlight nayapalli chowk repeatedly unsafe night,Electricity,synthetic
412,Water coming from the taps in Cuttack is brown and unfit for drinking. daily commuters are suffering.,water come tap cuttack brown unfit drink daily commuter suffer,Water,synthetic
413,Potholes on the road to Dumduma have still not been filled again and again. the situation is getting worse daily.,pothole road dumduma not fill situation get bad daily,Roads,synthetic
414,Garbage dumping near Khandagiri is happening illegally and nobody is stopping it.,garbage dumping khandagiri happen illegally stop,Sanitation,synthetic
415,The park near Puri has broken swings and slides. Children are getting injured.,park puri break swing slide child get injure,Parks,synthetic
416,There is no traffic control at Sishu Bhawan Chowk during peak hours. Chaos every morning.,no traffic control sishu bhawan chowk peak hour chaos morning,Traffic,synthetic
417,The road near Aiginia has a large pothole for the past four days. elderly people are affected.,road aiginia large pothole past day elderly people affect,Roads,synthetic
418,Garbage collection truck near Nayapalli is coming once a week instead of daily.,garbage collection truck nayapalli come week instead daily,Sanitation,synthetic
419,The electricity pole near Bomikhal has tilted and could fall any moment. daily commuters are suffering.,electricity pole bomikhal tilt fall moment daily commuter suffer,Electricity,synthetic
420,Frequent voltage fluctuations in Khandagiri are damaging our appliances since last week.,frequent voltage fluctuation khandagiri damage appliance week,Electricity,synthetic
421,Overgrown bushes in Vani Vihar park are becoming shelter for antisocial elements.,overgrown bush vani vihar park shelter antisocial element,Parks,synthetic
422,The sewer line near Unit-4 is blocked causing overflow on the main road. this needs to be fixed immediately.,sewer line unit block cause overflow main road need fix immediately,Sanitation,synthetic
423,No drinking water facility in Master Canteen Square park. Residents request a water tap.,no drinking water facility master canteen square park resident water tap,Parks,synthetic
424,Electricity transformer near Sambalpur has broken down even after multiple complaints. Whole street affected.,electricity transformer sambalpur break multiple complaint street affect,Electricity,synthetic
425,Sewer overflow from the drain near Tamando is entering residential buildings.,sewer overflow drain tamando enter residential building,Sanitation,synthetic
426,Three-wheeler goods vehicles parked on footpath near Sishu Bhawan Chowk blocking pedestrians.,wheeler good vehicle park footpath sishu bhawan chowk block pedestrian,Traffic,synthetic
427,The underground water pipeline near Nayapalli is broken and water is gushing out.,underground water pipeline nayapalli break water gush,Water,synthetic
428,There is a large pile of garbage near Aiginia that has not been cleared still not fixed.,large pile garbage aiginia not clear not fix,Sanitation,synthetic
429,Open defecation is happening near the park in Bomikhal every morning.,open defecation happen park bomikhal morning,Sanitation,synthetic
430,The overhead water tank in Cuttack is leaking and overflowing on the road.,overhead water tank cuttack leak overflow road,Water,synthetic
431,Bus stop near Master Canteen Square has no shelter. Buses also stop in middle of road causing jam.,bus stop master canteen square no shelter bus stop middle road cause jam,Traffic,synthetic
432,The garbage van has not visited Master Canteen Square for over a week. Waste is piling up on the road.,garbage van not visit master canteen square week waste pile road,Sanitation,synthetic
433,The traffic signal at Nayapalli crossroad has been dark for over a week. Manual control needed.,traffic signal nayapalli crossroad dark week manual control need,Traffic,synthetic
434,Public toilet near Bomikhal is broken and overflowing again and again. daily commuters are suffering.,public toilet bomikhal break overflow daily commuter suffer,Sanitation,synthetic
435,Dirty and foul-smelling water is coming from taps in Unit-6 again and again. it is a public safety hazard.,dirty foul smelling water come tap unit public safety hazard,Water,synthetic
436,High tension wire near Bhubaneswar Old Town is passing very low over the road. Very dangerous.,high tension wire bhubaneswar old town pass low road dangerous,Electricity,synthetic
437,The park gate near Unit-6 is broken and park is not being locked at night.,park gate unit break park not lock night,Parks,synthetic
438,"The signal near Dumduma has been blinking yellow for three days, it is chaos at peak hour.",signal dumduma blink yellow day chaos peak hour,Traffic,synthetic
439,Footpath near Bhubaneswar Old Town school has broken slabs which are dangerous for children.,footpath bhubaneswar old town school break slab dangerous child,Roads,synthetic
440,Water supply has been cut near Vani Vihar without any prior notice since last month. this needs to be fixed immediately.,water supply cut vani vihar prior notice month need fix immediately,Water,synthetic
441,No drinking water in Jaydev Vihar colony for over a week. Residents are buying water at high cost.,no drinking water jaydev vihar colony week resident buy water high cost,Water,synthetic
442,The road near Brahmapur has a large pothole since last week. this needs to be fixed immediately.,road brahmapur large pothole week need fix immediately,Roads,synthetic
443,Streetlights on Tamando square have been out since last week. Area is unsafe at night.,streetlight tamando square week unsafe night,Electricity,synthetic
